name,calories,protein_g,carbs_g,fat_g
"Kiwifruit, green, raw",58.0,1.06,14.0,0.44
"Melons, cantaloupe, raw",34.0,0.82,8.16,0.18
"Nectarines, raw",39.0,1.06,9.18,0.28
"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",47.0,0.91,11.8,0.15
"Strawberries, raw",31.0,0.64,7.63,0.22
"Lettuce, cos or romaine, raw",17.0,1.24,3.24,0.26
"Cheese, cheddar",408.0,23.3,2.44,34.0
"Cheese, cottage, lowfat, 2% milkfat",84.0,11.0,4.31,2.3
"Cheese, mozzarella, low moisture, part-skim",298.0,23.7,4.44,20.4
"Egg, whole, dried",575.0,48.1,1.87,39.8
"Egg, yolk, raw, frozen, pasteurized",296.0,15.6,0.59,25.1
"Egg, yolk, dried",654.0,34.2,1.07,55.5
"Cheese, dry white, queso seco",326.0,24.5,2.07,24.3
"Yogurt, Greek, plain, nonfat",61.0,10.3,3.64,0.37
"Yogurt, Greek, strawberry, nonfat",83.0,8.06,12.2,0.15
"Oil, coconut",833.0,0.0,0.84,99.1
"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",220.0,27.1,0.0,11.6
"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",156.0,23.9,0.0,5.95
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",166.0,32.1,0.0,3.24
"Sauce, pasta, spaghetti/marinara, ready-to-serve",45.0,1.41,8.05,1.48
"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",106.0,16.7,0.27,3.73
"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",57.0,0.38,15.1,0.16
"Olives, green, Manzanilla, stuffed with pimiento",130.0,1.15,4.96,12.9
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",346.0,19.3,2.63,28.1
"Cookies, oatmeal, soft, with raisins",430.0,5.79,69.6,14.3
"Tomatoes, canned, red, ripe, diced",18.0,0.84,3.32,0.5
"Fish, haddock, raw",74.0,16.3,0.0,0.45
"Fish, pollock, raw",56.0,12.3,0.0,0.41
"Fish, tuna, light, canned in water, drained solids",90.0,19.0,0.08,0.94
"Sugars, granulated",385.0,0.0,99.6,0.32
"Restaurant, Chinese, sweet and sour pork",260.0,8.88,25.5,13.6
"Restaurant, Chinese, fried rice, without meat",174.0,3.84,32.5,3.19
"Restaurant, Latino, tamale, pork",174.0,7.38,15.8,9.04
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",229.0,5.59,31.5,9.01
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",155.0,22.8,0.0,6.39
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",176.0,27.7,0.0,6.36
